É,S,I,0.0285966745195504
S,I,E,0.0290218501041809
I,E,.,0.0306787076086513
E,.,RET,0.1147509345631236
.,RET,I,0.0178211727399709
I,N,S,0.0884535226612473
N,S,T,0.0438156600868558
S,T,I,0.0641078583275588
T,I,T,0.0541827077172403
I,T,U,0.0507889647012487
T,U,É,0.0207027215976274
U,É,E,0.0171625122291085
É,E,SPACE,0.141191326854956
E,SPACE,P,0.3269112770293957
SPACE,P,A,0.3396572238127728
P,A,R,0.2976053675794326
A,R,SPACE,0.1455487800690642
R,SPACE,L,0.2103111418505154
SPACE,L,A,0.5859326313980086
L,A,SPACE,0.5810285158715849
A,SPACE,R,0.0581918070138639
SPACE,R,É,0.1135021024530935
R,É,F,0.0120859627252282
F,O,R,0.0685757811363058
O,R,M,0.045836045698827
R,M,E,0.0416134638173565
M,E,SPACE,0.147590771192373
E,SPACE,É,0.0393443258815818
SPACE,É,L,0.0249460328394149
É,L,E,0.0217205667439099
L,E,C,0.0258327349552749
E,C,T,0.0759170132548136
C,T,O,0.0143304006588266
T,O,R,0.032840004402849
O,R,A,0.024200875717158
R,A,L,0.0437345508721624
A,L,E,0.1422023678496955
L,E,SPACE,0.7386293870402515
E,SPACE,D,0.7319922075120772
SPACE,D,E,1.389996276203438
D,E,SPACE,1.090248495680528
E,SPACE,",",0.0232618468797066
SPACE,",",SPACE,0.0477702888881141
",",SPACE,E,0.1115915339828734
SPACE,E,L,0.0542173809278424
E,L,L,0.1651099328113952
L,L,E,0.272382471017511
E,SPACE,C,0.2912981055142884
SPACE,C,O,0.4402366765989961
C,O,M,0.181400935756171
O,M,P,0.0619536825905923
M,P,T,0.0121609015997553
P,T,E,0.0170116091969451
T,E,SPACE,0.2587786418943981
E,SPACE,À,0.0996496328552436
SPACE,À,SPACE,0.3380173860079152
À,SPACE,P,0.0272065770385834
SPACE,P,O,0.2321643243042229
P,O,U,0.1380791638637733
O,U,R,0.2470323461424929
V,O,I,0.0428014873182554
O,I,R,0.0706929721152967
R,.,SPACE,0.0173842343618512
.,SPACE,E,0.049052246963327
E,SPACE,A,0.1847702397511415
SPACE,A,SPACE,0.0807373538304599
A,SPACE,S,0.0735746141805087
SPACE,S,O,0.2387538374885749
S,O,N,0.1940794002694515
O,N,SPACE,0.4383599797544018
N,SPACE,B,0.022821049708794
SPACE,B,U,0.0188365012822581
U,R,E,0.0955015797350565
E,A,U,0.0676619929048518
A,U,SPACE,0.1676617319796213
U,SPACE,C,0.0651310163044981
SPACE,C,E,0.1595403526225662
C,E,N,0.0392451530426554
E,N,T,0.5908922054198845
N,T,R,0.1117863004905996
T,R,A,0.1128994596830157
A,L,I,0.0812068962114522
L,I,S,0.0775364013220204
I,S,A,0.0384884941080643
S,A,T,0.0234946420700286
A,T,E,0.0425619066179015
T,E,U,0.0578805497034213
E,U,R,0.2135084965473172
U,R,SPACE,0.3188647433393125
R,SPACE,À,0.0161794707840057
À,SPACE,L,0.1228718292408907
SPACE,L,E,0.6843627552401452
N,I,C,0.0169540628522522
I,C,A,0.0505738230219159
.,RET,C,0.0266126398541782
M,P,O,0.040156648368247
P,O,S,0.0614179628452787
O,S,I,0.0183150982174512
S,I,T,0.0638103584522906
I,T,I,0.0730398265107489
T,I,O,0.3357847667923392
I,O,N,0.4446171893623059
N,SPACE,T,0.0380431297669381
SPACE,T,E,0.0783596663756874
T,E,R,0.1162439145437213
E,R,R,0.0630817922748917
R,R,I,0.0337506795019532
R,I,T,0.0648632496393967
I,T,O,0.0129698872559378
O,R,I,0.0569309138461674
R,I,A,0.0222431628654257
I,A,L,0.0351327797746685
L,E,.,0.0273573122971471
.,RET,L,0.0947404654793182
RET,L,A,0.0323977904770946
A,SPACE,C,0.1165073750197641
SPACE,C,I,0.0339093746857466
C,O,N,0.2114918392375613
O,N,S,0.1697940785071173
S,C,R,0.015129860502849
C,R,I,0.0383164888853624
R,I,P,0.0102977198506914
P,T,I,0.0217438686327554
N,SPACE,S,0.0619206871159871
SPACE,S,E,0.1992386807994889
S,E,SPACE,0.1829490759680438
O,S,E,0.0217368221415685
E,SPACE,E,0.2710906329414276
SPACE,E,T,0.4016463811989435
E,T,SPACE,0.4427628250479811
T,SPACE,D,0.3379889949865458
D,E,U,0.0448350524785576
E,U,X,0.0758257816996057
U,X,SPACE,0.1364742229676507
SPACE,V,I,0.0934064975882022
V,I,L,0.0400032473735993
I,L,L,0.1430863110219162
D,I,S,0.0452766139514242
I,S,T,0.1245517835775847
S,T,R,0.0721910971529516
T,R,I,0.0533958868177277
R,I,C,0.0498375392589314
I,C,T,0.0167046580755611
T,S,SPACE,0.1173056790900998
S,SPACE,:,0.0139787658353925
SPACE,:,RET,0.0146437271769987
:,RET,L,0.0185165011031206
L,O,R,0.05481239931989
O,R,S,0.0505922781178816
R,S,SPACE,0.1717652318883358
S,SPACE,D,0.4450652380810271
D,E,S,0.3067278892888457
E,S,SPACE,1.1666812636222923
S,SPACE,É,0.0488657200034966
C,T,I,0.0845342008819676
N,S,SPACE,0.3095200334593798
S,SPACE,P,0.1932270544585053
A,R,L,0.0162212464103279
R,L,E,0.0116106974003354
L,E,M,0.0738300588067886
E,M,E,0.1876021649063127
M,E,N,0.2657160243169467
N,T,A,0.0556249455046881
T,A,I,0.0886003059194628
A,I,R,0.0989575853980433
I,R,E,0.166985045127548
R,E,S,0.1880422536998043
SPACE,D,U,0.2553817484630344
D,U,SPACE,0.2397510837651179
A,I,T,0.1179688694881538
I,T,SPACE,0.1864362688790614
T,SPACE,I,0.0325854732106118
SPACE,I,N,0.1054201126089429
I,T,S,0.0184473970215604
T,S,.,0.0135501229297018
S,.,RET,0.0758291371715994
.,RET,RET,0.0364492619283949
G,A,R,0.0197353576633399
A,R,E,0.0264764636157651
R,E,SPACE,0.4417249402772915
SPACE,D,O,0.0820632313057688
D,O,N,0.0541410066569624
E,N,A,0.0249868204656501
A,SPACE,G,0.0244265125672267
SPACE,G,A,0.0357867053417175
SPACE,E,S,0.2437281569457123
E,S,T,0.3222455118635949
S,T,SPACE,0.2607297742927204
T,SPACE,U,0.1029336892200617
SPACE,U,N,0.294399270013936
U,N,E,0.2121905230727048
N,E,SPACE,0.3704165745983406
SPACE,A,N,0.086251084052104
A,N,C,0.1058240555124574
N,C,I,0.0391820328861507
C,I,E,0.0443591347007771
I,E,N,0.153464413068369
E,N,N,0.0491221712713746
N,N,E,0.1054210819675188
E,SPACE,G,0.0706196550522333
E,SPACE,F,0.1250935618139981
SPACE,F,E,0.0301546760907826
F,E,R,0.0171197299611882
R,O,V,0.0161157540991466
O,V,I,0.017195563628247
SPACE,F,R,0.0722872687085947
F,R,A,0.0605336468428365
R,A,N,0.1426684242681166
A,N,Ç,0.0242701848553401
N,Ç,A,0.0216092955642949
Ç,A,I,0.0199964879504981
A,I,S,0.1332650681943376
I,S,E,0.0797654600089808
E,SPACE,L,0.5177112813117982
A,SPACE,L,0.0398211384518939
SPACE,L,I,0.0747536711145798
L,I,G,0.0247717160693395
I,G,N,0.0493418055548767
G,N,E,0.0521258779511148
S,SPACE,A,0.1694090194543232
SPACE,A,U,0.2352343015558397
B,R,A,0.0117374037511216
R,A,I,0.0659255175065742
I,S,SPACE,0.1813162287298399
SPACE,O,R,0.0282362595443993
A,N,S,0.2100436920911023
S,SPACE,À,0.0449686934714643
À,SPACE,M,0.0109646758339828
SPACE,M,O,0.1330132027381843
M,O,N,0.0654400739166337
O,N,T,0.2040039357099045
B,A,N,0.0174118610812664
B,O,U,0.0249534894438455
B,O,N,0.0121073631799439
O,N,",",0.029768759528479
N,",",SPACE,0.0601760840188801
",",SPACE,S,0.0564452838411161
SPACE,S,I,0.0732144601865126
E,SPACE,S,0.2953842501761907
SPACE,S,U,0.1773219680760331
S,U,R,0.1097735951811919
E,SPACE,T,0.1269584772235921
T,O,I,0.037321349099571
O,M,M,0.1312061878619936
M,M,U,0.0389272220712474
M,U,N,0.0462755379639642
",",SPACE,D,0.0858489120921417
SPACE,D,A,0.1693860717541882
D,A,N,0.1912591260587031
S,SPACE,L,0.2290302388960144
SPACE,D,É,0.1517954945062323
D,É,P,0.0298936390111798
É,P,A,0.0253568171774944
A,R,T,0.1335704347872801
R,T,E,0.057795805394068
T,E,M,0.0467670586865156
N,T,SPACE,0.6251915605173494
C,O,R,0.0414139437243058
SPACE,E,N,0.4001227732156473
E,N,SPACE,0.3953384853224227
N,SPACE,R,0.0399001784588579
R,É,G,0.0267556202441342
É,G,I,0.0252065293151965
G,I,O,0.0185611848051707
N,SPACE,N,0.0237004070692899
SPACE,N,O,0.128759191269039
N,O,U,0.0313802435949894
O,U,V,0.0952800813004467
U,V,E,0.0840449917067897
V,E,L,0.0269290981462112
A,Q,U,0.0202668085026169
Q,U,I,0.1312493616016465
U,I,T,0.0595083823751457
I,T,A,0.0579201256314365
A,I,N,0.1312468263561401
I,N,E,0.1126933404950439
N,E,.,0.0220100694109264
M,I,S,0.0342733874725354
S,E,R,0.0654751758819905
E,R,V,0.0340048378639688
R,V,I,0.0182091957930262
V,I,C,0.0217001729307923
I,C,E,0.0342185627884598
C,E,SPACE,0.1778189694028409
N,SPACE,1,0.0803517168908224
SPACE,1,8,0.0269551030541627
T,SPACE,F,0.0306099017912683
E,R,M,0.0395145601607315
R,M,É,0.0161987461064587
M,É,E,0.0154367556996998
U,SPACE,T,0.0261992084215258
SPACE,T,R,0.1227011662069863
F,I,C,0.0308848640796452
C,O,U,0.0726366665506997
U,R,S,0.1031788250907164
SPACE,.,SPACE,0.0196888843762264
.,SPACE,RET,0.0209750181499204
U,A,T,0.0178831184812778
A,T,I,0.236802350901542
N,SPACE,F,0.0397556694649936
R,E,.,0.0352984655251156
É,T,A,0.0775605420788643
T,A,B,0.018719600366298
A,B,L,0.0370930278719073
B,L,I,0.0389909201145954
L,I,E,0.0630103207214247
I,E,SPACE,0.1286173666527698
À,SPACE,D,0.0190585403206891
SPACE,D,SQT,0.2091211609909535
D,SQT,A,0.0703082672512131
SQT,A,L,0.0145265839213946
T,U,D,0.0199447018327278
U,D,E,0.017597698305187
E,",",SPACE,0.2218841833984765
",",SPACE,L,0.1537099590522674
T,SPACE,S,0.0993093879950771
U,SPACE,P,0.0570683763488447
P,O,I,0.0157972825239174
O,I,N,0.03831298428128
I,N,T,0.1094424100954086
M,É,T,0.0138070775183788
É,T,R,0.0160035322024666
R,I,Q,0.0221364961390465
I,Q,U,0.179877868376696
Q,U,E,0.3536197528920178
U,E,SPACE,0.2518719993236143
E,SPACE,(,0.0348612475243297
T,R,E,0.1970521061162716
E,SPACE,O,0.036545918163326
SPACE,O,U,0.0553495171785343
V,E,R,0.093917647821917
E,R,T,0.0543408436557014
A,L,L,0.0576969308193187
L,L,A,0.035226341518761
L,A,S,0.0229486881351341
A,S,S,0.0798695169238092
S,S,A,0.0406011924828858
T,SPACE,L,0.2249271677420547
D,SQT,U,0.0515831676391476
U,S,S,0.0364889869884987
H,I,S,0.0284121608429162
S,T,O,0.0348939260932466
T,SPACE,M,0.0411750341183506
SPACE,M,I,0.0670231296787526
M,P,A,0.0185431398224488
P,A,G,0.0211390261643706
A,G,N,0.0318938731496774
N,I,E,0.0418403496486673
SPACE,C,H,0.1350403552186763
C,H,E,0.1051802336444118
E,M,I,0.0553146948358436
M,I,N,0.0588171737859439
I,N,SPACE,0.0809033378450842
N,SPACE,D,0.2113761686613323
E,R,SPACE,0.2125815287675322
R,SPACE,D,0.1177741216219386
A,R,I,0.0588922990755818
R,I,S,0.0707520284223868
N,S,",",0.0188128452047021
S,",",SPACE,0.1666191495481404
",",SPACE,À,0.0204222041389498
SPACE,L,SQT,0.2893641978722006
L,SQT,O,0.0326417705740626
T,U,R,0.0594422422938466
S,E,C,0.0216392897556168
N,SPACE,E,0.07869118700867
L,I,M,0.0173108800157656
G,E,S,0.0298291393828555
É,N,É,0.0236471109891225
É,D,I,0.0286191002573753
D,I,C,0.0124583269089792
T,I,N,0.0364018752072387
S,SPACE,E,0.1848037199050347
T,SPACE,B,0.0175404129416493
SPACE,B,R,0.0363302731631942
B,R,I,0.0207807363214822
R,I,V,0.0230198241414017
I,V,E,0.0681605228355679
V,E,SPACE,0.0384911225611261
E,SPACE,V,0.0673967801267679
I,A,SPACE,0.0135747856488558
E,R,C,0.0245592587676018
R,C,H,0.0299493025632539
A,SPACE,D,0.0583513597071668
D,A,T,0.0191433778375977
SPACE,S,A,0.1342726791510391
S,A,SPACE,0.0533766301367857
A,SPACE,F,0.0590619927509102
M,E,T,0.0261935973266918
I,N,C,0.0430802338333808
N,C,O,0.0246236651883707
O,N,N,0.1122143282264248
N,N,U,0.0132887875859217
N,U,E,0.0165758265925121
U,E,.,0.022530913230401
.,RET,P,0.0178627805926934
P,A,T,0.0189486672544048
A,T,R,0.0226005765572935
R,I,M,0.0144516823298896
M,O,I,0.0256264293521924
RET,L,SQT,0.0152634828542447
L,SQT,A,0.0996449165529412
SQT,A,N,0.021204271453138
