0,2,3,0.0304917779743084
2,3,0,0.0264430771644417
RET,T,A,0.017839587943475
T,A,G,0.0270756866659834
A,G,S,0.0183456755447084
G,S,:,0.017080456541625
S,:,SPACE,0.0188517631459417
:,SPACE,#,0.0235330734573501
T,H,E,0.2188828875334175
H,E,S,0.0307448217749251
E,S,E,0.0213822011521084
/,P,R,0.0137908871336083
P,R,O,0.1505610613669173
R,O,F,0.0482048440174752
O,F,E,0.0184721974450167
F,E,S,0.0198639383484084
E,S,S,0.1109597065704088
S,S,O,0.0172069784419334
S,O,R,0.0277082961675251
O,R,SPACE,0.096662731835567
A,C,H,0.0307448217749251
C,H,I,0.0256839457625917
H,I,N,0.0255574238622834
I,N,E,0.1032418706516004
N,E,L,0.011007405326825
E,L,E,0.0202435040493334
L,E,A,0.0261900333638251
E,A,R,0.0344139568838668
A,R,N,0.0210026354511834
R,N,I,0.0160682813391584
N,I,N,0.0241656829588917
I,N,G,0.1886441533597258
N,G,SPACE,0.1492958423638339
RET,U,N,0.0115134929280583
U,N,I,0.0377035262918834
N,I,V,0.0272022085662917
I,V,E,0.077304881088392
V,E,R,0.1179184110873671
E,R,S,0.1253832032055588
R,S,I,0.0279613399681417
S,I,T,0.0528861543288835
I,T,Y,0.0526331105282668
G,I,L,0.015562193737925
I,L,L,0.1225997213987755
L,L,SPACE,0.1114657941716421
L,I,N,0.0451683184100751
I,N,K,0.0196108945477917
:,SPACE,[,0.014043930934225
],(,H,0.0638935596557086
(,H,T,0.0638935596557086
H,T,T,0.0904631587204587
T,T,P,0.0904631587204587
T,P,S,0.087173589312442
P,S,:,0.086794023611517
S,:,/,0.0865409798109003
:,/,/,0.090589680620767
/,/,W,0.017080456541625
/,W,W,0.0161948032394667
W,W,W,0.0161948032394667
W,W,.,0.0161948032394667
A,M,A,0.021635244952725
M,A,K,0.0108808834265167
A,G,E,0.099319691742042
RET,M,A,0.0118930586289833
M,A,I,0.0919814215241587
A,I,L,0.0502291944224085
SPACE,S,I,0.0912222901223087
L,.,C,0.0207495916505667
.,C,A,0.0196108945477917
RET,RET,#,0.1691597807122423
RET,#,SPACE,0.0754070525837669
#,SPACE,S,0.0274552523669084
