0,2,3,0.0304917779743084
2,3,0,0.0264430771644417
T,A,G,0.0270756866659834
A,G,S,0.0183456755447084
G,S,:,0.017080456541625
T,H,E,0.2188828875334175
H,E,S,0.0307448217749251
E,S,E,0.0213822011521084
/,P,R,0.0137908871336083
P,R,O,0.1505610613669173
R,O,F,0.0482048440174752
O,F,E,0.0184721974450167
F,E,S,0.0198639383484084
E,S,S,0.1109597065704088
S,S,O,0.0172069784419334
S,O,R,0.0277082961675251
A,C,H,0.0307448217749251
C,H,I,0.0256839457625917
H,I,N,0.0255574238622834
I,N,E,0.1032418706516004
N,E,L,0.011007405326825
E,L,E,0.0202435040493334
L,E,A,0.0261900333638251
E,A,R,0.0344139568838668
A,R,N,0.0210026354511834
R,N,I,0.0160682813391584
N,I,N,0.0241656829588917
I,N,G,0.1886441533597258
U,N,I,0.0377035262918834
N,I,V,0.0272022085662917
I,V,E,0.077304881088392
V,E,R,0.1179184110873671
E,R,S,0.1253832032055588
R,S,I,0.0279613399681417
S,I,T,0.0528861543288835
I,T,Y,0.0526331105282668
G,I,L,0.015562193737925
I,L,L,0.1225997213987755
L,I,N,0.0451683184100751
I,N,K,0.0196108945477917
],(,H,0.0638935596557086
(,H,T,0.0638935596557086
H,T,T,0.0904631587204587
T,T,P,0.0904631587204587
T,P,S,0.087173589312442
P,S,:,0.086794023611517
S,:,/,0.0865409798109003
:,/,/,0.090589680620767
/,/,W,0.017080456541625
/,W,W,0.0161948032394667
W,W,W,0.0161948032394667
W,W,.,0.0161948032394667
A,M,A,0.021635244952725
M,A,K,0.0108808834265167
A,G,E,0.099319691742042
M,A,I,0.0919814215241587
A,I,L,0.0502291944224085
L,.,C,0.0207495916505667
.,C,A,0.0196108945477917
S,U,M,0.0115134929280583
M,M,A,0.0160682813391584
M,A,R,0.0332752597810918
A,R,Y,0.0167008908407
I,T,E,0.0670566071634169
R,E,S,0.1553688935786339
S,E,A,0.010248273924975
A,R,C,0.0293530808715334
R,C,H,0.0414991833011335
A,R,E,0.0560492018365919
R,E,A,0.1007114326454337
N,G,.,0.0116400148283667
I,N,T,0.1114657941716421
N,T,E,0.1145023197790421
T,E,R,0.1939580731726758
E,R,E,0.0378300481921918
E,S,T,0.2416568295889176
S,T,E,0.0995727355426587
T,E,D,0.0301122122733834
R,O,B,0.0182191536444
O,B,L,0.0122726243299083
B,L,E,0.0681953042661919
L,E,M,0.0361852634881834
R,E,P,0.0301122122733834
P,R,E,0.092867074826317
S,E,N,0.0432704899054501
E,N,T,0.4435857824810185
N,T,A,0.0308713436752334
T,A,T,0.0470661469147002
A,T,I,0.1818119707430757
T,I,O,0.2934042868150262
I,O,N,0.3535021894614848
A,N,D,0.1852280620514008
I,N,F,0.0296061246721501
F,E,R,0.0172069784419334
R,E,N,0.1089353561654754
E,N,C,0.1214610242960005
N,C,E,0.1628336856968257
S,T,R,0.0580735522415252
T,R,U,0.0379565700925001
R,U,C,0.0266961209650584
U,C,T,0.0122726243299083
C,T,U,0.0246717705601251
T,U,R,0.0651587786587919
U,R,E,0.0859083703093587
R,E,D,0.0192313288468667
C,O,M,0.239126391582751
O,M,P,0.0645261691572502
M,P,L,0.0522535448273418
P,L,E,0.0501026725221002
L,E,X,0.0120195805292917
O,M,B,0.0304917779743084
M,B,I,0.0107543615262083
I,N,A,0.0237861172579667
N,A,T,0.0244187267595084
T,O,R,0.0256839457625917
O,R,I,0.0337813473823251
R,I,A,0.010248273924975
I,A,L,0.0409930956999001
D,O,M,0.0116400148283667
O,M,A,0.0202435040493334
A,I,N,0.1303175573175838
I,N,S,0.0630079063535502
N,S,.,0.0218882887533417
A,D,D,0.0116400148283667
D,I,T,0.0229004639558084
I,T,I,0.0613631216495419
I,T,S,0.0269491647656751
O,T,E,0.0289735151706084
T,E,N,0.0722440050760586
N,T,I,0.0617426873504669
T,I,A,0.0146765404357667
R,O,L,0.0250513362610501
O,L,E,0.015562193737925
A,R,T,0.0730031364779086
R,T,I,0.0516209353258002
T,I,F,0.0354261320863334
I,F,I,0.0452948403103835
F,I,C,0.0627548625529336
I,C,I,0.0466865812137752
C,I,A,0.0298591684727667
G,E,N,0.0679422604655752
E,N,E,0.0287204713699917
N,E,R,0.0576939865406002
E,R,A,0.0416257052014418
R,A,L,0.0232800296567334
T,E,L,0.0306182998746167
E,L,L,0.165617167503609
L,L,I,0.0288469932703001
L,I,G,0.0303652560740001
I,G,E,0.0164478470400834
C,E,",",0.0107543615262083
O,U,R,0.3803248323268516
A,B,I,0.0403604861983585
B,I,L,0.0383361357934251
I,L,I,0.0745213992816086
L,I,T,0.0499761506217918
W,I,T,0.0373239605909584
I,T,H,0.0493435411202502
D,A,T,0.0131582776320667
S,S,E,0.0933731624275504
R,I,V,0.012525668130525
V,E,N,0.0538983295313502
A,P,P,0.0570613770390585
P,P,R,0.0283409056690667
C,I,E,0.0463070155128502
I,E,N,0.1070375276608504
C,E,.,0.0105013177255917
R,E,C,0.0503557163227168
C,E,N,0.0153091499373083
W,O,R,0.0285939494696834
O,R,K,0.0225208982548834
E,X,P,0.0454213622106918
X,P,L,0.0130317557317583
P,L,O,0.0127787119311417
L,O,R,0.019357850747175
O,R,E,0.0509883258242585
M,M,E,0.0838840199044253
M,E,T,0.0616161654501586
T,R,Y,0.0206230697502584
T,R,A,0.1071640495611587
R,A,N,0.0695870451695836
A,N,S,0.1377823494357755
F,O,R,0.1157675387821254
O,R,M,0.0485844097184002
R,M,A,0.0340343911829418
M,A,T,0.0641466034563252
O,N,S,0.1590380286875757
T,H,I,0.0554165923350502
H,I,S,0.0389687452949668
S,U,C,0.0172069784419334
U,C,C,0.011766536728675
I,N,C,0.0606039902476919
N,C,T,0.0111339272271333
M,O,T,0.011007405326825
O,T,I,0.0172069784419334
T,I,V,0.0408665737995918
A,T,E,0.0633874720544752
H,E,R,0.091348812022617
E,R,M,0.0418787490020585
